"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.RES:WEO(9.0.0)","MEX.GGXWDN_NGDP.A","OBS_VALUE","Mexico","Net debt, General government, Percent of GDP","Annual","Units","32.517","32.290","34.925","33.595","31.379","29.743","28.196","27.513","31.431","34.373","34.458","35.698","35.639","38.364","41.053","44.898","47.197","44.514","43.644","43.269","50.164","49.097","47.639","46.550","51.281"
"IMF.RES:WEO(9.0.0)","MEX.TX_RPCH.A","OBS_VALUE","Mexico","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","15.270","1.837","2.739","-1.772","5.762","6.372","8.698","2.520","-2.055","-10.104","23.080","9.287","7.918","2.702","7.572","7.029","3.067","3.198","6.527","1.164","-7.019","7.086","9.506","-7.235","3.327"
"IMF.RES:WEO(9.0.0)","PAN.NGDP_D.A","OBS_VALUE","Panama","Gross domestic product (GDP), Price deflator, Index","Annual","Units","56.870","57.461","58.416","59.047","60.230","61.285","62.577","64.437","69.272","73.715","75.629","80.065","86.691","89.667","93.441","95.747","97.670","99.343","100.000","100.538","100.041","101.457","103.685","106.028","106.531"
"IMF.RES:WEO(9.0.0)","MEX.NGDPRPC.A","OBS_VALUE","Mexico","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Annual","Units","179249.865","176014.296","173143.504","172793.522","176597.170","177955.083","183887.335","184875.608","183706.076","169469.572","175219.079","178622.953","182440.566","181630.331","183946.301","186879.435","188316.037","190011.578","191884.695","189298.470","172140.064","181456.798","186772.710","191306.953","192366.769"
"IMF.RES:WEO(9.0.0)","NIC.TM_RPCH.A","OBS_VALUE","Nicaragua","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","-4.806","-0.423","2.801","2.208","8.024","8.505","22.529","12.528","10.031","-9.249","11.892","11.869","6.899","2.418","2.731","12.060","4.156","3.368","-14.871","-4.030","1.815","18.489","6.564","7.871","9.131"
"IMF.RES:WEO(9.0.0)","PRY.GGX_NGDP.A","OBS_VALUE","Paraguay","Expenditure, General government, Percent of GDP","Annual","Units","19.620","19.040","17.642","14.596","14.013","14.044","14.082","13.085","11.827","14.260","13.333","14.707","17.583","17.078","17.135","17.978","17.699","18.057","18.488","20.121","22.632","20.447","20.160","21.476","20.994"
"IMF.RES:WEO(9.0.0)","PAN.PCPIE.A","OBS_VALUE","Panama","All Items, Consumer price index (CPI), End-of-period (EoP)","Annual","Units","66.294","66.294","67.456","67.321","68.402","70.697","72.251","76.842","82.041","83.595","87.713","93.250","97.572","101.218","102.200","102.500","104.000","104.500","104.666","104.599","102.951","105.653","107.845","109.917","109.705"
"IMF.RES:WEO(9.0.0)","MEX.TXG_RPCH.A","OBS_VALUE","Mexico","Exports of goods, Volume, Free on board (FOB), Percent change","Annual","Units","15.874","2.736","1.598","-2.203","5.901","6.613","9.354","2.064","-2.407","-10.881","25.512","9.777","8.040","2.458","7.209","6.152","1.954","2.842","6.972","1.175","-4.878","5.537","8.308","-7.093","2.819"
"IMF.RES:WEO(9.0.0)","NIC.GGXCNL.A","OBS_VALUE","Nicaragua","Net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","1.396","0.244","1.540","1.042","1.565","1.815","1.620","2.574","0.439","-1.512","1.294","1.295","0.554","-0.813","-2.753","-5.691","-7.316","-7.269","-17.861","-4.718","-11.233","-6.281","3.630","14.976","17.897"
"IMF.RES:WEO(9.0.0)","PAN.NGDP_RPCH.A","OBS_VALUE","Panama","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.705","0.564","2.238","4.259","7.481","7.187","8.526","12.168","9.881","1.296","5.822","11.291","7.650","9.044","5.056","5.744","4.947","5.608","3.698","3.103","-17.821","16.467","11.039","7.166","2.748"
"IMF.RES:WEO(9.0.0)","PAN.TM_RPCH.A","OBS_VALUE","Panama","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","-9.926","-5.028","1.104","-1.491","12.047","8.025","3.886","19.486","14.508","-16.116","28.165","26.651","-0.229","-4.502","-2.148","-0.492","2.769","5.304","-0.128","-9.049","-28.575","29.535","12.085","11.044","-11.519"
"IMF.RES:WEO(9.0.0)","PAN.TX_RPCH.A","OBS_VALUE","Panama","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","7.871","2.037","-5.814","0.078","15.541","15.784","14.222","16.973","12.235","-1.509","4.735","23.714","5.561","-5.529","-8.702","-4.841","-3.273","5.188","1.648","-0.021","-27.744","27.737","25.720","8.851","1.436"
"IMF.RES:WEO(9.0.0)","MEX.LUR.A","OBS_VALUE","Mexico","Unemployment rate","Annual","Units","2.200","2.768","2.978","3.400","3.919","3.523","3.563","3.653","3.900","5.385","5.306","5.192","4.933","4.942","4.836","4.347","3.873","3.423","3.324","3.490","4.409","4.135","3.271","2.794","2.669"
"IMF.RES:WEO(9.0.0)","PAN.NGDPPC.A","OBS_VALUE","Panama","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Annual","Units","4262.875","4245.513","4326.094","4471.169","4809.254","5147.753","5600.145","6352.288","7371.628","7809.319","8335.338","9657.132","11066.924","12277.247","13225.949","14106.829","14871.432","15736.315","16186.562","16539.980","13336.403","15538.412","17399.794","18822.262","19186.922"
"IMF.RES:WEO(9.0.0)","PRY.GGR_NGDP.A","OBS_VALUE","Paraguay","Revenue, General government, Percent of GDP","Annual","Units","19.073","19.113","15.748","14.529","15.348","14.782","14.993","14.360","14.119","14.847","14.871","15.992","17.001","15.921","16.864","17.541","17.325","17.618","17.474","17.679","16.913","17.055","17.522","17.666","18.876"
"IMF.RES:WEO(9.0.0)","PAN.GGXCNL_NGDP.A","OBS_VALUE","Panama","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","2.048","-0.417","-0.963","-2.272","-4.331","-2.211","0.514","3.121","0.375","-0.901","-1.676","-1.955","-1.314","-2.382","-3.213","-2.297","-1.887","-1.923","-2.880","-2.892","-10.202","-6.477","-3.981","-3.902","-7.415"
"IMF.RES:WEO(9.0.0)","PRY.GGXWDG.A","OBS_VALUE","Paraguay","Gross debt, General government, Domestic currency","Annual","Billions","10367.508","12940.472","20788.927","18533.415","20726.678","18762.996","15867.045","15108.343","17228.267","16586.506","16750.892","15636.883","18126.500","22448.675","28086.917","35081.136","39680.996","43488.573","51489.141","60987.856","88526.341","101489.135","118726.114","129045.156","150468.930"
"IMF.RES:WEO(9.0.0)","MEX.PCPIPCH.A","OBS_VALUE","Mexico","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","9.486","6.366","5.037","4.550","4.694","3.990","3.633","3.969","5.130","5.296","4.155","3.404","4.111","3.804","4.019","2.719","2.820","6.042","4.898","3.635","3.398","5.693","7.897","5.526","4.723"
"IMF.RES:WEO(9.0.0)","PRY.BCA_NGDPD.A","OBS_VALUE","Paraguay","Current account balance (credit less debit), Percent of GDP","Annual","Units","-2.790","-0.376","8.613","0.221","-0.102","-0.629","1.244","4.362","0.360","1.741","-1.137","-0.678","-1.818","0.866","-0.787","-0.209","4.606","3.363","-0.224","-0.560","1.899","-1.075","-7.028","-0.410","-3.919"
"IMF.RES:WEO(9.0.0)","MEX.PCPIE.A","OBS_VALUE","Mexico","All Items, Consumer price index (CPI), End-of-period (EoP)","Annual","Units","48.308","50.435","53.310","55.430","58.307","60.250","62.692","65.049","69.296","71.772","74.931","77.792","80.568","83.770","87.189","89.047","92.039","98.273","103.020","105.934","109.271","117.308","126.478","132.373","137.949"
"IMF.RES:WEO(9.0.0)","NIC.GGXONLB_NGDP.A","OBS_VALUE","Nicaragua","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","4.265","2.992","5.410","4.258","3.211","3.129","2.445","2.483","0.479","-0.457","0.941","1.013","0.865","-0.035","-0.542","-1.157","-1.278","-0.847","-3.305","0.158","-1.385","-0.106","1.881","3.799","4.422"
"IMF.RES:WEO(9.0.0)","MEX.PPPSH.A","OBS_VALUE","Mexico","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021","Annual","Units","2.751","2.673","2.595","2.534","2.495","2.436","2.427","2.355","2.313","2.181","2.177","2.169","2.177","2.125","2.105","2.093","2.065","2.028","1.965","1.875","1.750","1.709","1.711","1.709","1.679"
"IMF.RES:WEO(9.0.0)","MEX.TMG_RPCH.A","OBS_VALUE","Mexico","Imports of goods, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","21.559","-0.584","1.327","3.022","7.158","5.682","7.946","5.082","4.460","-17.351","19.246","5.595","5.603","3.536","6.447","5.173","2.522","5.538","5.836","-0.720","-10.988","16.257","7.560","3.245","3.280"
"IMF.RES:WEO(9.0.0)","NIC.NGDPDPC.A","OBS_VALUE","Nicaragua","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","1030.740","1054.660","1011.904","1010.231","1077.784","1152.801","1224.724","1326.658","1498.880","1438.131","1499.068","1652.097","1728.147","1783.560","1909.424","2029.124","2091.463","2147.856","2010.903","1940.178","1924.714","2123.815","2310.001","2601.650","2843.378"
"IMF.RES:WEO(9.0.0)","NIC.PPPGDP.A","OBS_VALUE","Nicaragua","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","15.058","15.853","16.221","16.958","18.345","19.724","21.106","22.778","24.014","23.367","24.694","26.795","29.067","31.019","33.069","34.976","36.919","39.321","37.986","38.779","41.191","47.305","52.468","56.819","60.319"
"IMF.RES:WEO(9.0.0)","PAN.GGX.A","OBS_VALUE","Panama","Expenditure, General government, Domestic currency","Annual","Billions","2.953","3.085","3.212","3.493","3.686","3.856","4.184","4.816","5.923","6.378","7.385","8.465","9.564","11.076","11.888","11.989","12.780","13.682","14.694","14.401","15.716","16.026","16.326","17.923","20.027"
"IMF.RES:WEO(9.0.0)","PER.TX_RPCH.A","OBS_VALUE","Peru","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","9.771","4.679","3.987","7.617","11.363","14.598","-0.755","1.878","7.787","-0.125","1.302","5.800","5.344","-3.152","-1.065","2.716","11.332","7.105","2.449","0.936","-13.985","12.081","2.546","3.857","5.233"
"IMF.RES:WEO(9.0.0)","MEX.GGXWDN.A","OBS_VALUE","Mexico","Net debt, General government, Domestic currency","Annual","Billions","2281.571","2401.429","2733.880","2774.762","2902.041","2974.208","3135.432","3314.463","4063.364","4382.263","4813.211","5450.590","5890.846","6504.314","7446.058","8633.224","9797.440","10031.832","10551.636","10870.037","12082.789","13103.964","14065.537","14865.963","17425.502"
"IMF.RES:WEO(9.0.0)","NIC.TX_RPCH.A","OBS_VALUE","Nicaragua","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","9.405","5.871","-3.049","9.091","17.070","7.230","41.468","9.690","7.999","0.628","15.769","8.703","12.244","4.195","6.322","-1.120","4.705","10.381","-1.321","5.483","-8.549","17.804","9.303","1.309","-3.794"
"IMF.RES:WEO(9.0.0)","PAN.NID_NGDP.A","OBS_VALUE","Panama","Gross capital formation, Percent of GDP","Annual","Units","28.412","20.605","18.399","22.421","22.029","21.799","23.245","35.204","41.197","31.223","37.235","37.695","42.666","43.337","43.911","42.479","40.249","41.544","41.199","38.067","23.955","31.299","35.855","37.493","33.534"
"IMF.RES:WEO(9.0.0)","PRY.GGXWDN_NGDP.A","OBS_VALUE","Paraguay","Net debt, General government, Percent of GDP","Annual","Units","30.112","35.022","48.763","35.240","33.978","26.628","19.027","14.314","12.702","11.095","8.430","6.701","8.800","9.914","10.933","14.758","15.587","15.951","18.436","22.666","32.247","33.254","36.827","38.189","42.083"
"IMF.RES:WEO(9.0.0)","MEX.GGX_NGDP.A","OBS_VALUE","Mexico","Expenditure, General government, Percent of GDP","Annual","Units","19.387","19.547","19.767","21.505","20.459","21.156","21.577","22.521","26.502","26.517","26.482","26.622","27.000","26.669","26.949","26.557","26.523","25.018","24.970","25.263","27.783","26.684","28.509","28.520","30.320"
"IMF.RES:WEO(9.0.0)","NIC.NGDPRPC.A","OBS_VALUE","Nicaragua","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Annual","Units","19773.584","19949.831","19696.731","19789.044","20432.422","20877.713","21518.412","22316.042","22784.150","21649.657","22321.230","23435.971","24229.031","25160.659","26093.099","27061.711","28003.923","28999.549","27769.791","26655.054","25816.602","28192.479","28857.477","29788.455","30502.149"
"IMF.RES:WEO(9.0.0)","PAN.LP.A","OBS_VALUE","Panama","Population, Persons for countries / Index for country groups","Annual","Millions","3.041","3.102","3.164","3.227","3.289","3.351","3.413","3.476","3.538","3.600","3.662","3.724","3.788","3.851","3.913","3.975","4.037","4.098","4.159","4.219","4.279","4.337","4.395","4.453","4.510"
"IMF.RES:WEO(9.0.0)","PRY.GGXONLB_NGDP.A","OBS_VALUE","Paraguay","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","0.445","1.158","-0.732","0.902","2.160","1.552","1.594","1.845","2.707","0.979","1.807","1.486","-0.406","-0.907","0.021","0.037","0.189","0.144","-0.342","-1.613","-4.654","-2.298","-1.405","-2.149","-0.143"
"IMF.RES:WEO(9.0.0)","PAN.PPPSH.A","OBS_VALUE","Panama","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021","Annual","Units","0.070","0.069","0.068","0.069","0.070","0.072","0.074","0.079","0.085","0.086","0.087","0.093","0.097","0.103","0.104","0.107","0.109","0.110","0.102","0.100","0.083","0.086","0.092","0.095","0.095"
"IMF.RES:WEO(9.0.0)","PAN.BCA.A","OBS_VALUE","Panama","Current account balance (credit less debit), US dollar","Annual","Billions","-0.699","-0.191","-0.113","-0.575","-1.045","-1.064","-0.463","-1.180","-2.287","-0.212","-3.121","-4.517","-3.735","-4.084","-6.677","-4.848","-4.508","-3.745","-5.307","-3.590","0.123","-0.832","0.029","-2.581","1.672"
"IMF.RES:WEO(9.0.0)","PAN.GGSB_NPGDP.A","OBS_VALUE","Panama","Structural balance, General government, Percent","Annual","Units","1.621","-0.252","-0.500","-1.697","-4.094","-1.972","0.664","2.398","-0.927","-0.599","-0.909","-1.938","-1.686","-2.741","-3.393","-2.638","-2.254","-2.506","-3.345","-3.129","-5.364","-4.971","-3.765","-4.347","-7.327"
"IMF.RES:WEO(9.0.0)","NIC.PCPIEPCH.A","OBS_VALUE","Nicaragua","All Items, Consumer price index (CPI), End-of-period (EoP), percent change","Annual","Units","9.873","4.838","3.873","6.480","9.256","9.583","9.447","16.877","13.774","0.933","9.230","7.950","6.619","5.675","6.480","3.052","3.130","5.678","3.885","6.130","2.931","7.210","11.593","5.604","2.820"
"IMF.RES:WEO(9.0.0)","PRY.GGR.A","OBS_VALUE","Paraguay","Revenue, General government, Domestic currency","Annual","Billions","5888.628","6667.383","6478.231","7179.189","8825.517","9805.595","11346.952","12904.496","15164.521","16485.240","19197.749","22626.095","25029.321","26484.660","30384.882","33060.476","35456.139","38605.400","40290.505","41843.080","40575.816","46156.718","51330.251","55522.546","63445.139"
"IMF.RES:WEO(9.0.0)","NIC.NID_NGDP.A","OBS_VALUE","Nicaragua","Gross capital formation, Percent of GDP","Annual","Units","26.953","25.355","22.029","22.074","24.057","25.990","28.253","31.304","33.602","23.200","24.840","30.983","31.012","30.905","28.879","33.477","31.200","29.915","24.075","17.831","20.337","23.792","21.753","22.151","24.694"
"IMF.RES:WEO(9.0.0)","MEX.NGDP_RPCH.A","OBS_VALUE","Mexico","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","5.029","-0.451","-0.237","1.186","3.565","2.113","4.805","2.078","0.943","-6.295","4.971","3.444","3.553","0.852","2.504","2.702","1.772","1.872","1.972","-0.393","-8.354","6.048","3.710","3.354","1.427"
"IMF.RES:WEO(9.0.0)","MEX.PPPPC.A","OBS_VALUE","Mexico","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Units","13900.842","13957.268","13942.988","14189.513","14891.800","15476.879","16486.010","17023.663","17241.842","16003.763","16747.819","17425.431","18129.239","18355.915","18913.756","19393.676","19728.461","20262.587","20685.338","20724.883","19141.257","20814.061","22947.575","24374.350","25117.837"
"IMF.RES:WEO(9.0.0)","PRY.GGSB.A","OBS_VALUE","Paraguay","Structural balance, General government, Domestic currency","Annual","Billions","","","-132.769","752.093","1325.676","1588.258","2290.169","2418.794","3208.143","781.060","1249.953","2835.307","-705.501","-953.715","-730.225","-2942.550","-191.896","-2461.661","-3667.344","-6188.373","-12200.267","-9221.320","-6965.881","-11678.768","-6237.271"
"IMF.RES:WEO(9.0.0)","PAN.NGDPRPC.A","OBS_VALUE","Panama","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Annual","Units","7495.828","7388.517","7405.670","7572.270","7984.851","8399.669","8949.234","9858.096","10641.646","10593.896","11021.347","12061.609","12765.937","13691.987","14154.349","14733.404","15226.243","15840.377","16186.579","16451.412","13330.948","15315.312","16781.466","17752.218","18010.661"
"IMF.RES:WEO(9.0.0)","PAN.GGR_NGDP.A","OBS_VALUE","Panama","Revenue, General government, Percent of GDP","Annual","Units","24.832","23.010","22.503","21.941","18.972","20.140","22.404","24.935","23.084","21.785","22.520","21.583","21.503","21.046","19.756","19.082","19.400","19.293","18.949","17.746","17.340","17.302","17.366","17.482","15.731"
"IMF.RES:WEO(9.0.0)","PAN.PPPEX.A","OBS_VALUE","Panama","Rate, Domestic currency per international dollar in PPP terms, ICP benchmarks 2017-2021","Annual","Units","0.368","0.364","0.364","0.361","0.359","0.354","0.351","0.352","0.371","0.392","0.398","0.412","0.438","0.446","0.457","0.464","0.468","0.468","0.498","0.496","0.492","0.501","0.478","0.472","0.463"
"IMF.RES:WEO(9.0.0)","NIC.LUR.A","OBS_VALUE","Nicaragua","Unemployment rate","Annual","Units","9.800","6.400","12.200","6.998","6.537","5.559","5.193","5.935","6.062","8.158","7.829","5.930","5.912","5.746","6.557","4.703","3.847","3.270","5.250","4.928","4.815","3.672","3.525","3.362","3.362"
"IMF.RES:WEO(9.0.0)","PAN.GGXONLB.A","OBS_VALUE","Panama","Primary net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","0.646","0.342","0.260","0.185","-0.158","0.230","0.780","1.284","0.736","0.344","0.158","-0.060","0.007","-0.312","-0.851","-0.406","-0.181","-0.229","-0.822","-0.913","-4.563","-3.066","-1.727","-1.146","-3.919"
"IMF.RES:WEO(9.0.0)","NIC.GGX_NGDP.A","OBS_VALUE","Nicaragua","Expenditure, General government, Percent of GDP","Annual","Units","20.564","19.226","18.728","20.884","20.820","21.267","21.353","21.481","21.878","22.740","22.589","23.535","24.085","24.203","24.587","25.445","26.840","27.307","27.683","27.654","28.921","30.002","28.575","26.033","27.097"
"IMF.RES:WEO(9.0.0)","NIC.NGDPD.A","OBS_VALUE","Nicaragua","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","5.109","5.335","5.224","5.322","5.793","6.321","6.764","7.423","8.497","8.297","8.759","9.774","10.532","10.983","11.880","12.757","13.286","13.786","13.025","12.713","12.730","14.208","15.634","17.813","19.694"
"IMF.RES:WEO(9.0.0)","NIC.LP.A","OBS_VALUE","Nicaragua","Population, Persons for countries / Index for country groups","Annual","Millions","4.957","5.059","5.162","5.268","5.375","5.483","5.523","5.596","5.669","5.770","5.843","5.916","6.094","6.158","6.222","6.287","6.353","6.419","6.477","6.553","6.614","6.690","6.768","6.847","6.926"
"IMF.RES:WEO(9.0.0)","NIC.TMG_RPCH.A","OBS_VALUE","Nicaragua","Imports of goods, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","-6.135","-0.824","4.049","1.847","8.316","8.716","21.630","12.259","9.673","-8.972","13.591","11.077","7.097","-0.180","5.147","14.107","5.285","3.978","-15.475","-3.290","6.029","17.731","5.445","8.197","8.460"
"IMF.RES:WEO(9.0.0)","PAN.NGSD_NGDP.A","OBS_VALUE","Panama","Gross national savings, Percent of GDP","Annual","Units","16.325","14.518","13.422","12.946","9.988","11.983","14.601","29.861","32.427","30.468","27.009","25.133","33.755","34.699","31.010","33.833","32.741","35.737","33.315","32.923","24.170","30.064","35.893","34.413","35.467"
"IMF.RES:WEO(9.0.0)","NIC.GGR.A","OBS_VALUE","Nicaragua","Revenue, General government, Domestic currency","Annual","Billions","14.724","14.003","15.482","17.831","20.786","24.310","26.995","31.992","36.452","36.870","43.547","52.880","60.283","64.905","73.075","82.785","94.746","105.858","95.914","111.597","115.169","143.653","163.902","183.893","213.340"
"IMF.RES:WEO(9.0.0)","PAN.GGXWDG.A","OBS_VALUE","Panama","Gross debt, General government, Domestic currency","Annual","Billions","6.944","7.613","7.798","8.145","9.294","10.231","10.460","10.471","10.437","10.980","11.628","12.814","14.265","15.945","17.971","19.201","20.176","21.643","23.952","27.793","35.104","36.672","40.329","42.937","49.648"
"IMF.RES:WEO(9.0.0)","PRY.LP.A","OBS_VALUE","Paraguay","Population, Persons for countries / Index for country groups","Annual","Millions","5.054","5.148","5.227","5.295","5.358","5.419","5.478","5.533","5.586","5.641","5.701","5.775","5.855","5.939","6.026","6.114","6.204","6.294","6.383","6.472","6.559","6.649","6.719","6.802","6.887"
"IMF.RES:WEO(9.0.0)","PAN.NGDP_R.A","OBS_VALUE","Panama","Gross domestic product (GDP), Constant prices, Domestic currency","Annual","Billions","22.793","22.921","23.434","24.432","26.260","28.147","30.547","34.264","37.650","38.138","40.358","44.915","48.351","52.724","55.390","58.571","61.469","64.916","67.316","69.405","57.036","66.429","73.761","79.047","81.220"
"IMF.RES:WEO(9.0.0)","NIC.PCPIE.A","OBS_VALUE","Nicaragua","All Items, Consumer price index (CPI), End-of-period (EoP)","Annual","Units","65.109","68.259","70.902","75.497","82.485","90.389","98.928","115.624","131.551","132.778","145.034","156.565","166.928","176.400","187.831","193.564","199.622","210.957","219.153","232.586","239.402","256.663","286.420","302.470","311.000"
"IMF.RES:WEO(9.0.0)","MEX.NID_NGDP.A","OBS_VALUE","Mexico","Gross capital formation, Percent of GDP","Annual","Units","22.265","20.274","20.408","20.881","22.046","21.522","22.564","23.072","24.121","23.259","23.331","24.252","24.378","22.681","22.293","23.736","24.343","23.892","23.477","22.149","20.237","21.707","22.770","23.895","24.124"
"IMF.RES:WEO(9.0.0)","NIC.PCPIPCH.A","OBS_VALUE","Nicaragua","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","11.547","7.357","3.750","5.302","8.470","9.599","9.140","11.127","19.826","3.687","5.455","8.082","7.194","7.136","6.036","3.997","3.524","3.851","4.947","5.376","3.682","4.928","10.470","8.443","4.636"
"IMF.RES:WEO(9.0.0)","PAN.BCA_NGDPD.A","OBS_VALUE","Panama","Current account balance (credit less debit), Percent of GDP","Annual","Units","-5.392","-1.450","-0.826","-3.987","-6.610","-6.169","-2.421","-5.343","-8.770","-0.755","-10.227","-12.562","-8.911","-8.638","-12.901","-8.645","-7.508","-5.808","-7.884","-5.144","0.215","-1.235","0.038","-3.080","1.933"
"IMF.RES:WEO(9.0.0)","PRY.GGXWDG_NGDP.A","OBS_VALUE","Paraguay","Gross debt, General government, Percent of GDP","Annual","Units","33.580","37.097","50.537","37.508","36.045","28.285","20.966","16.812","16.041","14.939","12.976","11.052","12.312","13.495","15.589","18.613","19.390","19.847","22.331","25.768","36.899","37.501","40.528","41.060","44.767"
"IMF.RES:WEO(9.0.0)","PAN.NGDP_FY.A","OBS_VALUE","Panama","Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency","Annual","Billions","12.962","13.171","13.689","14.426","15.816","17.250","19.116","22.079","26.081","28.114","30.523","35.961","41.916","47.276","51.757","56.080","60.037","64.490","67.316","69.779","57.060","67.396","76.479","83.812","86.524"
"IMF.RES:WEO(9.0.0)","MEX.NGDP.A","OBS_VALUE","Mexico","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","7016.604","7437.108","7827.758","8259.533","9248.390","9999.599","11120.116","12046.753","12927.761","12749.118","13968.150","15268.437","16529.124","16954.006","18137.651","19228.615","20758.791","22536.210","24176.670","25121.823","24086.758","26690.033","29525.509","31935.813","33980.509"
"IMF.RES:WEO(9.0.0)","MEX.NGDP_D.A","OBS_VALUE","Mexico","Gross domestic product (GDP), Price deflator, Index","Annual","Units","39.393","41.943","44.251","46.144","49.890","52.826","56.052","59.487","63.241","66.557","69.468","73.406","76.740","78.048","81.457","84.085","89.195","95.053","100.000","104.319","109.138","114.036","121.639","127.300","133.544"
"IMF.RES:WEO(9.0.0)","NIC.BCA.A","OBS_VALUE","Nicaragua","Current account balance (credit less debit), US dollar","Annual","Billions","-0.936","-0.820","-0.784","-0.706","-0.687","-0.784","-0.885","-1.207","-1.450","-0.702","-0.777","-1.164","-1.235","-1.380","-0.954","-1.260","-1.127","-0.987","-0.234","0.754","0.478","-0.396","-0.454","1.464","0.818"
"IMF.RES:WEO(9.0.0)","PAN.GGXONLB_NGDP.A","OBS_VALUE","Panama","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","4.983","2.596","1.896","1.281","-1.000","1.330","4.080","5.816","2.823","1.225","0.519","-0.167","0.016","-0.660","-1.644","-0.724","-0.301","-0.355","-1.221","-1.308","-7.998","-4.550","-2.258","-1.367","-4.529"
"IMF.RES:WEO(9.0.0)","PAN.NGDPDPC.A","OBS_VALUE","Panama","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","4262.875","4245.513","4326.094","4471.169","4809.254","5147.753","5600.145","6352.288","7371.628","7809.319","8335.338","9657.132","11066.924","12277.247","13225.949","14106.829","14871.432","15736.315","16186.562","16539.980","13336.403","15538.412","17399.794","18822.262","19186.922"
"IMF.RES:WEO(9.0.0)","VEN.NGDPRPPPPC.A","OBS_VALUE","Venezuela, República Bolivariana de","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","Annual","Units","17636.553","17934.672","16081.106","14596.623","16993.353","18454.665","19964.559","21382.146","22172.519","21143.845","20523.462","21070.612","21936.672","21917.224","20770.775","19215.382","15892.431","13521.316","11442.037","8600.669","5991.770","6128.963","6783.843","7102.010","7528.847"
"IMF.RES:WEO(9.0.0)","BHS.GGR_NGDP.A","OBS_VALUE","Bahamas, The","Revenue, General government, Percent of GDP","Annual","Units","11.656","11.681","9.964","10.160","10.538","11.696","12.803","12.856","13.514","12.839","12.862","14.204","13.719","13.051","13.606","15.075","16.747","17.013","16.163","18.590","17.652","17.021","20.098","19.566","19.770"
"IMF.RES:WEO(9.0.0)","ABW.PPPPC.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Units","23912.267","25454.456","25250.578","25636.734","27841.531","28406.814","29215.558","30882.147","32105.061","28396.721","27936.241","29831.019","30199.739","32786.708","33697.451","34960.277","35662.119","37504.910","39287.781","38615.640","28544.524","34320.139","38650.414","43173.766","47276.310"
"IMF.RES:WEO(9.0.0)","ATG.PPPEX.A","OBS_VALUE","Antigua and Barbuda","Rate, Domestic currency per international dollar in PPP terms, ICP benchmarks 2017-2021","Annual","Units","2.219","2.215","2.209","2.156","2.149","2.181","2.139","2.174","2.234","2.245","2.254","2.233","2.248","2.160","2.161","2.201","2.170","2.138","2.012","1.922","1.855","1.819","1.814","1.835","1.901"
